kx (1/m)	特征频率 (Hz)	角频率 (rad/s)
0.84823	67.522	424.25
0.84823	67.621	424.87
0.84823	67.910	426.69
0.84823	68.731	431.85
0.84823	70.244	441.36
0.84823	71.984	452.29
0.84823	73.751	463.39
0.84823	76.771	482.37
0.84823	79.306	498.30
0.84823	82.495	518.33
0.84823	84.019	527.91
0.84823	88.318	554.92
0.84823	92.231	579.51
0.84823	96.292	605.02
0.84823	96.494	606.29
0.84823	100.40	630.81
0.84823	105.04	660.00
0.84823	107.62	676.19
0.84823	110.84	696.45
0.84823	116.73	733.41
0.84823	119.83	752.93
0.84823	120.23	755.40
0.84823	124.50	782.27
0.84823	128.89	809.84
0.84823	129.29	812.38
0.84823	130.43	819.49
0.84823	133.98	841.83
0.84823	135.01	848.31
0.84823	135.19	849.44
0.84823	135.52	851.51
0.84823	136.51	857.71
0.87965	34.812	218.73
0.87965	38.163	239.79
0.87965	44.537	279.83
0.87965	49.489	310.95
0.87965	56.466	354.79
0.87965	64.519	405.38
0.87965	65.191	409.61
0.87965	68.949	433.22
0.87965	70.003	439.84
0.87965	70.020	439.95
0.87965	70.111	440.52
0.87965	70.373	442.17
0.87965	71.119	446.85
0.87965	72.476	455.38
0.87965	73.656	462.79
0.87965	75.613	475.09
0.87965	78.453	492.93
0.87965	81.288	510.75
0.87965	84.027	527.96
0.87965	85.392	536.53
0.87965	89.883	564.75
0.87965	93.652	588.44
0.87965	97.863	614.89
0.87965	98.643	619.79
0.87965	101.84	639.91
0.87965	106.35	668.23
0.87965	109.37	687.22
0.87965	111.90	703.11
0.87965	117.95	741.12
0.87965	121.74	764.94
0.87965	123.52	776.11
0.87965	126.25	793.24
0.87965	130.14	817.71
0.87965	131.93	828.95
0.87965	134.02	842.07
0.87965	136.56	858.01
0.87965	138.60	870.88
0.87965	140.01	879.73
0.87965	140.18	880.75
0.87965	141.10	886.58
0.91106	35.830	225.12
0.91106	39.357	247.29
0.91106	45.599	286.51
0.91106	50.622	318.07
0.91106	57.411	360.73
0.91106	65.872	413.89
0.91106	66.648	418.76
0.91106	70.913	445.56
0.91106	72.503	455.55
0.91106	72.520	455.65
0.91106	72.604	456.19
0.91106	72.844	457.69
0.91106	73.505	461.84
0.91106	74.510	468.16
0.91106	75.426	473.91
0.91106	77.580	487.45
0.91106	80.169	503.71
0.91106	83.278	523.25
0.91106	85.390	536.52
0.91106	86.992	546.59
0.91106	91.429	574.46
0.91106	95.026	597.07
0.91106	99.473	625.01
0.91106	100.61	632.12
0.91106	103.46	650.06
0.91106	107.81	677.41
0.91106	111.07	697.87
0.91106	113.02	710.12
0.91106	119.03	747.89
0.91106	123.46	775.75
0.91106	126.25	793.26
0.91106	128.69	808.55
0.91106	131.30	824.99
0.91106	133.64	839.71
0.91106	138.18	868.21
0.91106	138.89	872.65
0.91106	141.56	889.45
0.91106	143.47	901.44
0.91106	145.01	911.14
0.91106	145.17	912.15
0.94248	36.802	231.23
0.94248	40.601	255.10
0.94248	46.647	293.09
0.94248	51.760	325.22
0.94248	58.366	366.72
0.94248	67.014	421.06
0.94248	68.256	428.87
0.94248	72.838	457.66
0.94248	75.003	471.26
0.94248	75.019	471.36
0.94248	75.097	471.85
0.94248	75.305	473.16
0.94248	75.742	475.90
0.94248	76.298	479.39
0.94248	77.540	487.20
0.94248	79.596	500.11
0.94248	81.931	514.78
0.94248	85.259	535.70
0.94248	86.654	544.47
0.94248	88.757	557.68
0.94248	92.941	583.97
0.94248	96.416	605.80
0.94248	101.12	635.36
0.94248	102.29	642.71
0.94248	105.23	661.19
0.94248	109.46	687.76
0.94248	112.70	708.13
0.94248	114.21	717.62
0.94248	120.10	754.60
0.94248	124.99	785.31
0.94248	128.25	805.81
0.94248	131.43	825.81
0.94248	132.85	834.73
0.94248	135.40	850.73
0.94248	140.26	881.29
0.94248	142.70	896.59
0.94248	143.65	902.57
0.94248	146.57	920.95
0.94248	148.87	935.35
0.94248	150.01	942.56
0.97389	37.739	237.12
0.97389	41.882	263.15
0.97389	47.682	299.60
0.97389	52.898	332.37
0.97389	59.338	372.83
0.97389	68.056	427.61
0.97389	69.920	439.32
0.97389	74.696	469.33
0.97389	77.256	485.41
0.97389	77.504	486.97
0.97389	77.520	487.08
0.97389	77.605	487.61
0.97389	77.847	489.13
0.97389	78.521	493.36
0.97389	79.815	501.49
0.97389	81.621	512.84
0.97389	83.753	526.24
0.97389	87.173	547.73
0.97389	87.945	552.58
0.97389	90.610	569.32
0.97389	94.409	593.19
0.97389	97.863	614.89
0.97389	102.78	645.79
0.97389	103.77	651.98
0.97389	107.06	672.66
0.97389	111.29	699.24
0.97389	114.27	717.96
0.97389	115.51	725.77
0.97389	121.21	761.60
0.97389	126.38	794.09
0.97389	129.85	815.90
0.97389	133.27	837.35
0.97389	135.25	849.83
0.97389	137.50	863.93
0.97389	142.36	894.45
0.97389	143.92	904.26
0.97389	147.84	928.88
0.97389	149.08	936.73
0.97389	151.44	951.50
0.97389	152.83	960.24
1.0053	38.652	242.85
1.0053	43.189	271.37
1.0053	48.709	306.05
1.0053	54.027	339.46
1.0053	60.333	379.08
1.0053	69.052	433.87
1.0053	71.597	449.86
1.0053	76.448	480.34
1.0053	78.665	494.27
1.0053	80.004	502.68
1.0053	80.019	502.78
1.0053	80.095	503.25
1.0053	80.311	504.61
1.0053	80.923	508.46
1.0053	82.122	515.99
1.0053	83.635	525.49
1.0053	85.646	538.13
1.0053	88.760	557.70
1.0053	89.555	562.69
1.0053	92.510	581.26
1.0053	95.829	602.11
1.0053	99.391	624.49
1.0053	104.41	656.04
1.0053	105.15	660.66
1.0053	108.86	683.97
1.0053	113.22	711.40
1.0053	115.74	727.25
1.0053	116.97	734.92
1.0053	122.40	769.09
1.0053	127.72	802.47
1.0053	131.21	824.42
1.0053	134.77	846.81
1.0053	137.30	862.69
1.0053	140.33	881.73
1.0053	144.47	907.70
1.0053	145.12	911.84
1.0053	149.95	942.16
1.0053	152.76	959.80
1.0053	154.05	967.91
1.0053	155.71	978.33
1.0367	39.548	248.49
1.0367	44.514	279.69
1.0367	49.731	312.47
1.0367	55.144	346.48
1.0367	61.356	385.51
1.0367	70.021	439.96
1.0367	73.268	460.35
1.0367	78.051	490.41
1.0367	80.089	503.21
1.0367	82.505	518.39
1.0367	82.519	518.48
1.0367	82.591	518.93
1.0367	82.791	520.19
1.0367	83.346	523.68
1.0367	84.411	530.37
1.0367	85.639	538.08
1.0367	87.603	550.43
1.0367	90.050	565.80
1.0367	91.480	574.78
1.0367	94.439	593.37
1.0367	97.207	610.77
1.0367	101.00	634.61
1.0367	105.93	665.55
1.0367	106.58	669.65
1.0367	110.63	695.08
1.0367	115.15	723.51
1.0367	117.13	735.92
1.0367	118.64	745.45
1.0367	123.70	777.22
1.0367	129.02	810.66
1.0367	132.41	831.98
1.0367	136.24	856.01
1.0367	138.97	873.17
1.0367	143.29	900.32
1.0367	146.09	917.93
1.0367	147.17	924.70
1.0367	151.21	950.11
1.0367	155.58	977.57
1.0367	157.32	988.48
1.0367	158.96	998.80
1.0681	40.433	254.05
1.0681	45.848	288.07
1.0681	50.751	318.88
1.0681	56.244	353.39
1.0681	62.408	392.12
1.0681	70.976	445.95
1.0681	74.918	470.72
1.0681	79.486	499.43
1.0681	81.607	512.75
1.0681	85.006	534.11
1.0681	85.019	534.19
1.0681	85.086	534.61
1.0681	85.272	535.78
1.0681	85.759	538.84
1.0681	86.631	544.32
1.0681	87.672	550.86
1.0681	89.586	562.88
1.0681	91.341	573.91
1.0681	93.468	587.28
1.0681	96.380	605.57
1.0681	98.559	619.27
1.0681	102.68	645.16
1.0681	107.26	673.92
1.0681	108.15	679.50
1.0681	112.38	706.11
1.0681	116.97	734.95
1.0681	118.43	744.12
1.0681	120.54	757.36
1.0681	125.11	786.10
1.0681	130.31	818.77
1.0681	133.55	839.15
1.0681	137.64	864.84
1.0681	140.56	883.15
1.0681	145.39	913.51
1.0681	148.27	931.62
1.0681	149.49	939.29
1.0681	152.62	958.94
1.0681	157.27	988.14
1.0681	160.20	1006.6
1.0681	162.11	1018.6
1.0996	41.312	259.57
1.0996	47.186	296.48
1.0996	51.771	325.29
1.0996	57.327	360.20
1.0996	63.489	398.92
1.0996	71.923	451.91
1.0996	76.532	480.86
1.0996	80.795	507.65
1.0996	83.212	522.83
1.0996	87.506	549.82
1.0996	87.519	549.90
1.0996	87.580	550.28
1.0996	87.740	551.29
1.0996	88.106	553.59
1.0996	88.747	557.61
1.0996	89.798	564.22
1.0996	91.498	574.90
1.0996	92.801	583.09
1.0996	95.469	599.85
1.0996	98.311	617.70
1.0996	99.918	627.80
1.0996	104.41	656.03
1.0996	108.49	681.67
1.0996	109.78	689.80
1.0996	114.14	717.17
1.0996	118.66	745.54
1.0996	119.70	752.10
1.0996	122.57	770.15
1.0996	126.67	795.89
1.0996	131.60	826.84
1.0996	134.69	846.30
1.0996	138.98	873.21
1.0996	142.15	893.18
1.0996	146.67	921.56
1.0996	150.68	946.78
1.0996	151.93	954.58
1.0996	154.48	970.63
1.0996	158.89	998.31
1.0996	161.76	1016.4
1.0996	165.68	1041.0
1.1310	42.188	265.08
1.1310	48.520	304.86
1.1310	52.796	331.72
1.1310	58.392	366.89
1.1310	64.596	405.87
1.1310	72.869	457.85
1.1310	78.088	490.64
1.1310	82.051	515.54
1.1310	84.861	533.20
1.1310	89.967	565.28
1.1310	90.007	565.53
1.1310	90.025	565.64
1.1310	90.111	566.18
1.1310	90.339	567.62
1.1310	90.934	571.36
1.1310	92.009	578.11
1.1310	93.239	585.84
1.1310	94.592	594.34
1.1310	97.470	612.42
1.1310	100.17	629.38
1.1310	101.35	636.82
1.1310	106.17	667.09
1.1310	109.70	689.26
1.1310	111.44	700.17
1.1310	115.92	728.32
1.1310	120.22	755.37
1.1310	120.99	760.19
1.1310	124.62	783.02
1.1310	128.40	806.74
1.1310	132.88	834.92
1.1310	135.87	853.67
1.1310	140.25	881.25
1.1310	143.76	903.30
1.1310	147.73	928.23
1.1310	152.37	957.35
1.1310	154.53	970.96
1.1310	156.95	986.13
1.1310	160.53	1008.7
1.1310	163.35	1026.4
1.1310	167.42	1051.9
1.1624	43.063	270.57
1.1624	49.847	313.20
1.1624	53.827	338.20
1.1624	59.442	373.48
1.1624	65.726	412.97
1.1624	73.818	463.81
1.1624	79.565	499.92
1.1624	83.321	523.52
1.1624	86.523	543.64
1.1624	91.657	575.90
1.1624	92.508	581.24
1.1624	92.521	581.33
1.1624	92.587	581.74
1.1624	92.772	582.90
1.1624	93.282	586.11
1.1624	94.173	591.71
1.1624	95.006	596.94
1.1624	96.641	607.21
1.1624	99.467	624.97
1.1624	101.83	639.81
1.1624	103.00	647.18
1.1624	107.93	678.16
1.1624	110.92	696.92
1.1624	113.08	710.49
1.1624	117.70	739.55
1.1624	121.67	764.45
1.1624	122.36	768.80
1.1624	126.58	795.33
1.1624	130.30	818.70
1.1624	134.18	843.06
1.1624	137.10	861.41
1.1624	141.51	889.14
1.1624	145.38	913.47
1.1624	148.75	934.63
1.1624	153.66	965.46
1.1624	156.85	985.52
1.1624	159.73	1003.6
1.1624	162.36	1020.1
1.1624	165.13	1037.5
1.1624	167.86	1054.7
1.1938	43.937	276.07
1.1938	51.159	321.44
1.1938	54.869	344.75
1.1938	60.479	380.00
1.1938	66.872	420.17
1.1938	74.774	469.82
1.1938	80.941	508.57
1.1938	84.649	531.86
1.1938	88.179	554.05
1.1938	93.029	584.52
1.1938	95.009	596.96
1.1938	95.021	597.03
1.1938	95.080	597.41
1.1938	95.238	598.40
1.1938	95.610	600.73
1.1938	96.171	604.26
1.1938	97.093	610.05
1.1938	98.796	620.75
1.1938	101.46	637.48
1.1938	103.28	648.93
1.1938	104.89	659.05
1.1938	109.66	688.98
1.1938	112.18	704.87
1.1938	114.71	720.73
1.1938	119.49	750.80
1.1938	123.01	772.92
1.1938	123.84	778.11
1.1938	128.40	806.78
1.1938	132.34	831.54
1.1938	135.50	851.35
1.1938	138.40	869.60
1.1938	142.78	897.11
1.1938	146.99	923.59
1.1938	149.77	941.05
1.1938	154.82	972.78
1.1938	158.81	997.82
1.1938	162.17	1018.9
1.1938	164.64	1034.5
1.1938	166.77	1047.9
1.1938	167.12	1050.0
1.2252	44.813	281.57
1.2252	52.451	329.56
1.2252	55.928	351.41
1.2252	61.506	386.46
1.2252	68.029	427.44
1.2252	75.739	475.88
1.2252	82.208	516.53
1.2252	86.057	540.71
1.2252	89.818	564.35
1.2252	94.242	592.14
1.2252	97.474	612.45
1.2252	97.510	612.67
1.2252	97.527	612.78
1.2252	97.605	613.27
1.2252	97.814	614.58
1.2252	98.364	618.04
1.2252	99.391	624.49
1.2252	100.99	634.52
1.2252	103.43	649.86
1.2252	104.67	657.68
1.2252	106.90	671.67
1.2252	111.29	699.23
1.2252	113.54	713.42
1.2252	116.32	730.88
1.2252	121.27	761.95
1.2252	124.34	781.28
1.2252	125.39	787.86
1.2252	130.10	817.45
1.2252	134.44	844.70
1.2252	136.86	859.92
1.2252	139.79	878.31
1.2252	144.10	905.41
1.2252	148.58	933.58
1.2252	150.82	947.61
1.2252	155.96	979.92
1.2252	160.48	1008.3
1.2252	164.02	1030.5
1.2252	165.69	1041.1
1.2252	167.27	1051.0
1.2252	169.32	1063.9
1.2566	45.691	287.08
1.2566	53.716	337.51
1.2566	57.010	358.20
1.2566	62.528	392.87
1.2566	69.191	434.74
1.2566	76.717	482.03
1.2566	83.377	523.87
1.2566	87.541	550.03
1.2566	91.434	574.50
1.2566	95.372	599.24
1.2566	99.280	623.79
1.2566	100.01	628.39
1.2566	100.02	628.47
1.2566	100.09	628.85
1.2566	100.26	629.96
1.2566	100.76	633.11
1.2566	101.75	639.30
1.2566	103.18	648.28
1.2566	105.33	661.79
1.2566	106.16	667.01
1.2566	108.96	684.61
1.2566	112.77	708.57
1.2566	115.04	722.85
1.2566	117.93	740.95
1.2566	123.00	772.86
1.2566	125.72	789.92
1.2566	126.98	797.86
1.2566	131.71	827.54
1.2566	136.47	857.44
1.2566	138.30	868.95
1.2566	141.27	887.60
1.2566	145.51	914.26
1.2566	150.13	943.32
1.2566	151.90	954.41
1.2566	157.11	987.14
1.2566	161.95	1017.5
1.2566	164.61	1034.3
1.2566	165.56	1040.2
1.2566	168.52	1058.9
1.2566	169.48	1064.8
1.2881	46.571	292.61
1.2881	54.946	345.23
1.2881	58.119	365.17
1.2881	63.546	399.27
1.2881	70.353	442.04
1.2881	77.710	488.27
1.2881	84.469	530.73
1.2881	89.079	559.70
1.2881	93.019	584.45
1.2881	96.475	606.17
1.2881	100.95	634.26
1.2881	102.51	644.11
1.2881	102.52	644.18
1.2881	102.58	644.54
1.2881	102.74	645.56
1.2881	103.20	648.43
1.2881	104.11	654.15
1.2881	105.33	661.83
1.2881	107.05	672.60
1.2881	107.91	678.03
1.2881	111.04	697.66
1.2881	114.11	716.98
1.2881	116.68	733.12
1.2881	119.53	751.01
1.2881	124.67	783.35
1.2881	127.18	799.11
1.2881	128.59	807.98
1.2881	133.25	837.24
1.2881	138.33	869.12
1.2881	139.84	878.62
1.2881	142.84	897.48
1.2881	147.05	923.92
1.2881	151.62	952.66
1.2881	153.04	961.61
1.2881	158.30	994.60
1.2881	163.28	1025.9
1.2881	163.54	1027.5
1.2881	166.94	1048.9
1.2881	167.47	1052.2
1.2881	171.18	1075.6
1.3195	47.454	298.16
1.3195	56.135	352.70
1.3195	59.262	372.36
1.3195	64.564	405.67
1.3195	71.509	449.30
1.3195	78.720	494.61
1.3195	85.509	537.27
1.3195	90.643	569.53
1.3195	94.565	594.17
1.3195	97.595	613.21
1.3195	102.53	644.23
1.3195	105.01	659.82
1.3195	105.03	659.89
1.3195	105.08	660.24
1.3195	105.23	661.19
1.3195	105.64	663.76
1.3195	106.44	668.77
1.3195	107.41	674.90
1.3195	108.72	683.11
1.3195	109.90	690.51
1.3195	113.10	710.63
1.3195	115.37	724.88
1.3195	118.39	743.89
1.3195	121.14	761.14
1.3195	126.26	793.33
1.3195	128.75	808.98
1.3195	130.21	818.15
1.3195	134.76	846.70
1.3195	139.98	879.53
1.3195	141.46	888.85
1.3195	144.50	907.91
1.3195	148.74	934.55
1.3195	153.01	961.42
1.3195	154.29	969.42
1.3195	159.54	1002.4
1.3195	162.46	1020.8
1.3195	164.54	1033.8
1.3195	166.41	1045.6
1.3195	168.24	1057.1
1.3195	172.69	1085.0
1.3509	48.339	303.72
1.3509	57.279	359.89
1.3509	60.443	379.77
1.3509	65.585	412.08
1.3509	72.655	456.50
1.3509	79.748	501.07
1.3509	86.516	543.60
1.3509	92.205	579.34
1.3509	96.067	603.61
1.3509	98.765	620.56
1.3509	104.04	653.68
1.3509	107.52	675.54
1.3509	107.53	675.61
1.3509	107.58	675.93
1.3509	107.71	676.77
1.3509	108.05	678.87
1.3509	108.64	682.62
1.3509	109.45	687.71
1.3509	110.57	694.75
1.3509	111.99	703.63
1.3509	115.07	723.02
1.3509	116.66	733.00
1.3509	120.13	754.77
1.3509	122.78	771.46
1.3509	127.78	802.84
1.3509	130.42	819.48
1.3509	131.83	828.28
1.3509	136.24	856.05
1.3509	141.48	888.97
1.3509	143.13	899.30
1.3509	146.22	918.70
1.3509	150.58	946.15
1.3509	154.31	969.54
1.3509	155.65	977.97
1.3509	160.84	1010.6
1.3509	161.38	1014.0
1.3509	165.36	1039.0
1.3509	165.74	1041.4
1.3509	169.47	1064.8
1.3509	171.73	1079.0
1.3823	49.228	309.31
1.3823	58.378	366.80
1.3823	61.661	387.43
1.3823	66.609	418.52
1.3823	73.786	463.61
1.3823	80.795	507.65
1.3823	87.505	549.81
1.3823	93.733	588.94
1.3823	97.529	612.79
1.3823	100.01	628.37
1.3823	105.46	662.61
1.3823	110.01	691.24
1.3823	110.02	691.26
1.3823	110.04	691.39
1.3823	110.11	691.87
1.3823	110.31	693.07
1.3823	110.79	696.12
1.3823	111.63	701.40
1.3823	112.61	707.57
1.3823	114.13	717.13
1.3823	116.76	733.60
1.3823	118.21	742.75
1.3823	121.82	765.44
1.3823	124.47	782.08
1.3823	129.24	812.03
1.3823	132.17	830.44
1.3823	133.42	838.28
1.3823	137.73	865.40
1.3823	142.89	897.77
1.3823	144.80	909.83
1.3823	147.96	929.67
1.3823	152.54	958.41
1.3823	155.55	977.35
1.3823	157.11	987.17
1.3823	160.31	1007.3
1.3823	162.21	1019.2
1.3823	164.32	1032.4
1.3823	166.90	1048.6
1.3823	170.68	1072.4
1.3823	170.71	1072.6
1.4137	50.120	314.91
1.4137	59.434	373.44
1.4137	62.913	395.29
1.4137	67.638	424.98
1.4137	74.901	470.61
1.4137	81.862	514.35
1.4137	88.485	555.97
1.4137	95.196	598.13
1.4137	98.973	621.86
1.4137	101.33	636.70
1.4137	106.80	671.07
1.4137	111.81	702.53
1.4137	112.52	706.98
1.4137	112.53	707.05
1.4137	112.58	707.39
1.4137	112.74	708.34
1.4137	113.15	710.97
1.4137	113.91	715.75
1.4137	114.76	721.07
1.4137	116.32	730.85
1.4137	118.08	741.93
1.4137	120.12	754.70
1.4137	123.47	775.76
1.4137	126.23	793.11
1.4137	130.68	821.07
1.4137	133.96	841.69
1.4137	134.97	848.05
1.4137	139.24	874.87
1.4137	144.21	906.11
1.4137	146.50	920.48
1.4137	149.72	940.73
1.4137	154.48	970.63
1.4137	156.83	985.37
1.4137	158.67	996.94
1.4137	159.24	1000.5
1.4137	163.27	1025.9
1.4137	163.66	1028.3
1.4137	168.03	1055.8
1.4137	169.71	1066.3
1.4137	171.88	1079.9
1.4451	51.015	320.54
1.4451	60.453	379.84
1.4451	64.194	403.34
1.4451	68.672	431.48
1.4451	75.997	477.50
1.4451	82.947	521.17
1.4451	89.464	562.12
1.4451	96.567	606.75
1.4451	100.43	631.04
1.4451	102.73	645.44
1.4451	108.09	679.14
1.4451	113.37	712.35
1.4451	115.02	722.70
1.4451	115.03	722.77
1.4451	115.08	723.08
1.4451	115.22	723.93
1.4451	115.57	726.17
1.4451	116.20	730.10
1.4451	116.99	735.06
1.4451	118.46	744.32
1.4451	119.33	749.77
1.4451	122.16	767.58
1.4451	125.05	785.72
1.4451	128.05	804.54
1.4451	132.12	830.11
1.4451	135.77	853.05
1.4451	136.49	857.59
1.4451	140.78	884.53
1.4451	145.48	914.10
1.4451	148.22	931.27
1.4451	151.50	951.90
1.4451	156.26	981.79
1.4451	158.17	993.79
1.4451	158.24	994.27
1.4451	160.33	1007.4
1.4451	162.22	1019.3
1.4451	165.18	1037.8
1.4451	168.70	1060.0
1.4451	169.14	1062.7
1.4451	173.10	1087.6
1.4765	51.914	326.18
1.4765	61.440	386.04
1.4765	65.499	411.54
1.4765	69.713	438.02
1.4765	77.075	484.27
1.4765	84.049	528.10
1.4765	90.447	568.30
1.4765	97.833	614.70
1.4765	101.95	640.54
1.4765	104.16	654.45
1.4765	109.33	686.94
1.4765	114.88	721.78
1.4765	117.52	738.43
1.4765	117.53	738.48
1.4765	117.58	738.77
1.4765	117.70	739.50
1.4765	117.97	741.20
1.4765	118.47	744.38
1.4765	119.28	749.49
1.4765	120.10	754.64
1.4765	121.08	760.76
1.4765	124.22	780.52
1.4765	126.61	795.53
1.4765	129.92	816.29
1.4765	133.57	839.24
1.4765	137.54	864.21
1.4765	138.00	867.08
1.4765	142.35	894.42
1.4765	146.72	921.88
1.4765	149.95	942.19
1.4765	153.30	963.22
1.4765	157.10	987.08
1.4765	157.76	991.23
1.4765	159.82	1004.2
1.4765	161.18	1012.7
1.4765	162.15	1018.8
1.4765	166.77	1047.9
1.4765	167.69	1053.7
1.4765	170.23	1069.6
1.4765	174.35	1095.5
1.5080	52.815	331.85
1.5080	62.401	392.07
1.5080	66.822	419.85
1.5080	70.760	444.60
1.5080	78.134	490.93
1.5080	85.166	535.12
1.5080	91.438	574.52
1.5080	98.996	622.01
1.5080	103.52	650.46
1.5080	105.61	663.56
1.5080	110.55	694.62
1.5080	116.32	730.89
1.5080	120.03	754.15
1.5080	120.03	754.17
1.5080	120.05	754.31
1.5080	120.13	754.77
1.5080	120.31	755.96
1.5080	120.80	758.98
1.5080	121.25	761.86
1.5080	121.71	764.70
1.5080	123.30	774.69
1.5080	126.21	792.97
1.5080	128.22	805.66
1.5080	131.81	828.19
1.5080	135.05	848.55
1.5080	139.14	874.26
1.5080	139.64	877.39
1.5080	143.96	904.51
1.5080	147.95	929.57
1.5080	151.70	953.13
1.5080	155.13	974.71
1.5080	156.03	980.37
1.5080	159.07	999.49
1.5080	160.14	1006.2
1.5080	161.45	1014.4
1.5080	164.12	1031.2
1.5080	166.69	1047.4
1.5080	168.44	1058.4
1.5080	171.33	1076.5
1.5080	175.32	1101.6
1.5394	53.720	337.53
1.5394	63.340	397.98
1.5394	68.157	428.24
1.5394	71.812	451.21
1.5394	79.176	497.48
1.5394	86.296	542.21
1.5394	92.439	580.81
1.5394	100.07	628.78
1.5394	105.17	660.78
1.5394	107.05	672.60
1.5394	111.78	702.31
1.5394	117.71	739.61
1.5394	122.20	767.80
1.5394	122.51	769.76
1.5394	122.53	769.88
1.5394	122.54	769.94
1.5394	122.59	770.28
1.5394	122.75	771.27
1.5394	123.21	774.13
1.5394	124.08	779.61
1.5394	125.58	789.04
1.5394	128.02	804.40
1.5394	129.99	816.73
1.5394	133.70	840.07
1.5394	136.57	858.11
1.5394	140.55	883.11
1.5394	141.44	888.68
1.5394	145.58	914.72
1.5394	149.18	937.30
1.5394	153.43	964.01
1.5394	154.97	973.68
1.5394	156.98	986.32
1.5394	159.10	999.68
1.5394	160.32	1007.3
1.5394	163.03	1024.4
1.5394	165.69	1041.1
1.5394	166.19	1044.2
1.5394	170.17	1069.2
1.5394	172.46	1083.6
1.5394	174.37	1095.6
1.5708	54.628	343.24
1.5708	64.262	403.77
1.5708	69.501	436.69
1.5708	72.871	457.86
1.5708	80.202	503.93
1.5708	87.434	549.37
1.5708	93.453	587.18
1.5708	101.09	635.17
1.5708	106.86	671.42
1.5708	108.46	681.46
1.5708	113.02	710.15
1.5708	119.02	747.85
1.5708	123.64	776.86
1.5708	124.35	781.31
1.5708	125.03	785.60
1.5708	125.04	785.66
1.5708	125.09	785.98
1.5708	125.24	786.88
1.5708	125.65	789.51
1.5708	126.49	794.76
1.5708	127.85	803.32
1.5708	129.68	814.78
1.5708	131.94	828.98
1.5708	135.56	851.75
1.5708	138.15	868.03
1.5708	141.90	891.56
1.5708	143.28	900.23
1.5708	147.21	924.93
1.5708	150.43	945.20
1.5708	153.90	966.99
1.5708	155.13	974.72
1.5708	158.07	993.16
1.5708	158.83	997.95
1.5708	161.60	1015.3
1.5708	164.56	1034.0
1.5708	164.70	1034.8
1.5708	168.27	1057.3
1.5708	171.92	1080.2
1.5708	173.41	1089.6
1.5708	173.66	1091.2
1.6022	55.539	348.96
1.6022	65.170	409.47
1.6022	70.849	445.16
1.6022	73.936	464.55
1.6022	81.216	510.29
1.6022	88.579	556.56
1.6022	94.479	593.63
1.6022	102.06	641.28
1.6022	108.59	682.29
1.6022	109.82	690.03
1.6022	114.31	718.25
1.6022	120.25	755.57
1.6022	124.95	785.11
1.6022	126.30	793.55
1.6022	127.54	801.33
1.6022	127.55	801.39
1.6022	127.59	801.69
1.6022	127.73	802.53
1.6022	128.11	804.97
1.6022	128.90	809.90
1.6022	130.02	816.97
1.6022	131.33	825.15
1.6022	134.02	842.06
1.6022	137.36	863.04
1.6022	139.80	878.38
1.6022	143.23	899.95
1.6022	145.12	911.83
1.6022	148.80	934.95
1.6022	151.75	953.46
1.6022	152.84	960.31
1.6022	156.79	985.15
1.6022	157.03	986.66
1.6022	160.64	1009.4
1.6022	162.96	1023.9
1.6022	163.70	1028.6
1.6022	166.07	1043.4
1.6022	170.29	1070.0
1.6022	172.46	1083.6
1.6022	173.59	1090.7
1.6022	175.07	1100.0
1.6336	56.453	354.70
1.6336	66.067	415.11
1.6336	72.197	453.63
1.6336	75.008	471.29
1.6336	82.218	516.59
1.6336	89.726	563.76
1.6336	95.520	600.17
1.6336	103.01	647.22
1.6336	110.34	693.28
1.6336	111.14	698.28
1.6336	115.66	726.69
1.6336	121.40	762.80
1.6336	126.33	793.76
1.6336	128.16	805.27
1.6336	130.04	817.06
1.6336	130.05	817.12
1.6336	130.09	817.40
1.6336	130.22	818.19
1.6336	130.57	820.40
1.6336	131.25	824.66
1.6336	131.98	829.24
1.6336	133.25	837.21
1.6336	136.16	855.51
1.6336	139.07	873.83
1.6336	141.51	889.13
1.6336	144.60	908.52
1.6336	146.97	923.44
1.6336	150.33	944.57
1.6336	151.78	953.65
1.6336	153.15	962.27
1.6336	156.00	980.18
1.6336	158.40	995.24
1.6336	162.37	1020.2
1.6336	162.71	1022.3
1.6336	164.46	1033.4
1.6336	167.56	1052.8
1.6336	171.52	1077.7
1.6336	172.23	1082.1
1.6336	175.08	1100.0
1.6336	176.76	1110.6
1.6650	57.369	360.46
1.6650	66.954	420.69
1.6650	73.541	462.07
1.6650	76.089	478.08
1.6650	83.213	522.84
1.6650	90.872	570.97
1.6650	96.575	606.80
1.6650	103.94	653.06
1.6650	112.05	704.02
1.6650	112.44	706.50
1.6650	117.06	735.51
1.6650	122.49	769.61
1.6650	127.77	802.81
1.6650	129.91	816.28
1.6650	132.54	832.79
1.6650	132.55	832.85
1.6650	132.59	833.10
1.6650	132.70	833.77
1.6650	132.94	835.27
1.6650	133.34	837.79
1.6650	134.05	842.27
1.6650	135.45	851.07
1.6650	138.30	868.99
1.6650	140.72	884.16
1.6650	143.26	900.15
1.6650	146.03	917.53
1.6650	148.81	935.01
1.6650	150.72	946.99
1.6650	151.77	953.63
1.6650	154.67	971.79
1.6650	154.97	973.70
1.6650	159.94	1004.9
1.6650	161.72	1016.1
1.6650	163.99	1030.4
1.6650	166.14	1043.9
